"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04620","Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","31/1420","109/9440",0.284403669724771,1.89068355084636,3.93543340026323,0.000230531891193693,0.00122004570108662,0.000798928335472879,"3569/3627/3576/7097/6696/929/6373/51311/2353/942/23643/1326/3553/7096/7100/4615/3665/51284/4792/3661/958/9641/10379/51135/1513/8503/5606/1147/54472/7187/5603",31
"hsa05163","Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","64/1420","227/9440",0.281938325991189,1.87429422349072,5.61035035742503,1.98616984669835e-07,2.88964462736301e-06,1.89223974986439e-06,"6347/3569/3579/3576/1026/3554/7852/3690/1234/5734/1230/5880/3553/6890/3133/3105/5733/3106/4609/3587/567/7132/3134/3710/4792/3107/9586/8717/4772/148327/6774/115004/5330/64764/3685/3570/59345/5829/3661/55970/196883/7157/2002/10672/6667/8503/387/2771/2475/7248/10681/5534/2932/9826/9475/5530/1147/2785/808/107/3708/5579/23236/5603",64
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","44/1420","157/9440",0.280254777070064,1.86310217995873,4.58868077301879,1.86201589458094e-05,0.000136283716539541,8.92433149922332e-05,"653/5054/1490/7475/3397/3689/8200/654/7005/2535/7046/4609/51384/999/26524/2736/8324/330/7040/7855/25937/10413/8463/7484/7048/7159/6657/7042/3993/658/656/11186/8321/7043/23418/3996/6788/55233/4086/657/4089/2932/5522/353500",44
"hsa05168","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","51/1420","183/9440",0.278688524590164,1.85268990995151,4.90118976611753,4.93312597582878e-06,4.35127009150026e-05,2.84936291181473e-05,"9021/6347/3569/3117/3118/7097/3678/3122/3109/972/3690/3123/3111/718/3113/3115/3553/6850/3127/6890/3133/684/3108/4615/3105/3106/3665/6672/567/7132/330/3134/4792/3107/8717/56829/3459/115004/3661/7157/9641/10379/51135/8503/3717/2475/7248/1147/7187/5818/29990",51
"hsa04930","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","13/1420","47/9440",0.276595744680851,1.83877734492059,2.42556792331553,0.0184682821119899,0.0577553549684048,0.0378202140857975,"9021/3101/3099/6517/8835/2645/8503/2475/5581/776/3767/773/6833",13
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","56/1420","203/9440",0.275862068965517,1.83389995143273,5.05378168029568,2.42673618517966e-06,2.45528602265237e-05,1.60780663662058e-05,"1277/1280/3371/6696/2012/1288/3678/1278/1293/3690/10398/3691/3673/5880/3082/7057/1292/7450/1287/3791/3695/10627/1282/64098/8516/330/5228/2316/857/7060/2335/3685/1284/7408/5829/3696/5908/2002/3655/6464/5906/8503/3688/387/2889/2932/83660/9475/7791/1729/53358/5579/3912/5923/3914/5649",56
"hsa05220","Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","21/1420","77/9440",0.272727272727273,1.81306017925736,3.01425870222756,0.00389656299599531,0.0154070996623263,0.0100891044300423,"4616/1026/861/7046/4609/1647/6776/7040/4792/7048/7042/1643/7157/7043/6464/8503/3065/4089/1488/1147/53358",21
"hsa05217","Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","17/1420","63/9440",0.26984126984127,1.79387435725464,2.66017416849002,0.00995074535678346,0.0342305640273351,0.0224153632247543,"4616/1026/7475/64399/2535/51384/1647/2736/8324/7855/2737/7484/6608/1643/7157/8321/2932",17
"hsa05202","Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","54/1420","201/9440",0.26865671641791,1.78599957956695,4.73944884380927,8.58629285860456e-06,7.03258272228564e-05,4.6051796284245e-05,"4318/7850/597/3569/3576/6495/4804/2209/929/8358/4616/1026/942/85414/6688/861/8968/8357/3684/3695/4609/51384/1647/330/1436/64332/604/3486/3728/3021/4066/2308/2138/7048/1031/1643/51804/4211/4005/7157/958/2078/440686/1051/6667/7403/5966/3065/51274/4086/3020/4299/2892/2119",54
"hsa04625","Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","28/1420","105/9440",0.266666666666667,1.77276995305164,3.35048514633884,0.00137149819453478,0.00612721271324628,0.0040123118746472,"3569/2207/10332/64581/4791/834/3553/6850/3659/4046/29108/602/3710/5336/4792/4772/9261/9641/10379/8503/387/868/5534/5530/1147/808/3708/5603",28
"hsa02010","Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","12/1420","45/9440",0.266666666666667,1.77276995305164,2.1863922194756,0.0304377240307872,0.0872548088882567,0.0571374819525304,"10351/6890/10257/10060/19/5243/9619/4363/89845/10057/6833/94160",12
"hsa04621","Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","50/1420","189/9440",0.264550264550265,1.75870035024965,4.4332970028504,2.86879940636033e-05,0.000201401427711827,0.000131884655845566,"171389/2919/6347/3569/3576/2920/64127/2634/1535/10628/58484/2633/3606/834/3553/837/63940/3428/29108/4615/2635/1536/7128/3665/7205/643246/10135/330/3710/260434/4792/79792/84674/5330/3661/55914/9641/10379/8767/51135/22900/5585/387/55054/1147/3708/7187/23236/7226/5603",50
"hsa00531","Metabolism","Glycan biosynthesis and metabolism","hsa00531","Glycosaminoglycan degradation","5/1420","19/9440",0.263157894736842,1.74944403261675,1.37590194820673,0.145518093703501,0.310920647416176,0.203601647940825,"8692/4669/6448/2799/60495",5
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","61/1420","233/9440",0.261802575107296,1.7404340204316,4.81532090540211,5.63869405753426e-06,4.84927688947947e-05,3.17547507450614e-05,"72/1674/1277/1281/4629/1832/25802/9124/1288/3678/1278/3339/7431/1293/3690/10398/3691/3673/7057/8572/1292/4811/1287/2318/3695/1282/1634/8516/22795/343263/1824/3728/4000/7060/4634/2335/2199/3685/10611/1284/1466/27295/3696/6383/161176/3655/1462/3688/79188/23345/6711/83660/7791/2274/1729/752/6712/79784/7273/255631/57159",61
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","34/1420","130/9440",0.261538461538462,1.73867822318527,3.56838834835637,0.000652579453089883,0.00307516892962904,0.00201372751205818,"4318/1277/1281/59/1288/2353/1278/1906/1287/1282/7046/4846/4313/7040/4792/9586/148327/7048/5330/64764/59345/1284/55970/196883/6464/8503/2771/10681/2785/107/53358/23236/5603/4843",34
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","41/1420","157/9440",0.261146496815287,1.73607248587064,3.91332769385918,0.000198160418315836,0.0011174948180434,0.000731774452451921,"3569/3576/5054/4616/1026/1017/59341/3133/677/3105/3106/7046/4609/1647/3134/3710/7040/678/10758/3486/3107/11200/4772/9261/2308/7048/7042/7157/7043/8503/5606/2475/7248/5534/5530/10111/808/83593/776/3708/5603",41
"hsa05031","Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","18/1420","69/9440",0.260869565217391,1.73423147581139,2.57563641059178,0.0116981479555444,0.0390695426864785,0.0255840946600563,"2353/9586/148327/5173/64764/4128/3065/5534/5530/808/2892/776/814/2903/2904/5579/815/6804",18
"hsa04964","Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","6/1420","23/9440",0.260869565217391,1.73423147581139,1.48340798438656,0.119848475305318,0.262597933153053,0.171958254879906,"5105/358/5106/2746/2747/762",6
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","53/1420","205/9440",0.258536585365854,1.71872208862934,4.37763405322184,3.32402708347278e-05,0.000228693063342927,0.000149756167550142,"85477/8345/8348/1026/1017/1234/4791/3018/718/6850/8970/2934/3133/3105/3106/3665/6672/6776/4055/3134/8349/4792/4067/3107/9586/8717/9261/148327/8361/440689/6774/3017/64764/5829/3661/3718/7157/10379/8343/121504/8364/8344/8850/8365/8339/8503/5966/3065/387/55697/10014/7187/9734",53
"hsa04921","Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","40/1420","155/9440",0.258064516129032,1.71558382553385,3.77968312529027,0.000308137067069996,0.00153621958075476,0.00100596998250159,"2353/1026/93589/10398/5294/4846/3710/4881/4772/3762/5330/5565/196883/5321/2002/4637/387/2771/55799/5534/9475/5530/57118/808/9254/107/10369/776/59283/3708/814/3761/5579/23236/10368/782/7226/815/784/57172",40
"hsa04217","Cellular Processes","Cell growth and death","hsa04217","Necroptosis","41/1420","159/9440",0.257861635220126,1.71423509611126,3.82175061097074,0.000265344032203353,0.00134232863349932,0.000879003450333089,"8969/8336/8331/834/85235/92421/3553/8329/8337/8797/8795/197259/29108/55766/1536/7128/5836/6776/7132/8330/330/8335/90865/8717/8837/6774/3459/3013/8338/8334/317772/3718/5321/10379/3012/2746/3717/55506/6775/815/2747",41
"hsa00670","Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","10/1420","39/9440",0.256410256410256,1.70458649331889,1.85523774683672,0.0584439155775324,0.145686282309211,0.0954004419038286,"7298/10797/10840/6470/100528021/10768/1491/501/2731/441024",10
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","76/1420","300/9440",0.253333333333333,1.68413145539906,5.06695526148083,1.61301161026119e-06,1.78992256106403e-05,1.17210351305906e-05,"4804/3310/929/5778/4616/2353/3554/1945/93589/4791/115727/5880/3082/1326/3553/1843/3315/1942/3791/1435/4615/7046/4609/284/1647/7132/1969/1436/7040/5228/2316/8717/4772/9261/9252/2247/7048/6195/7042/55970/2872/7157/5321/7043/51776/5908/51135/2002/80824/6788/5906/5606/55799/5534/5536/84451/5530/1147/9254/10369/776/59283/1849/3556/7786/1850/5579/10368/782/84867/4293/5603/784/773/5923/1846",76
"hsa05131","Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","64/1420","253/9440",0.25296442687747,1.68167900684741,4.62459071676105,1.12312955079029e-05,8.58570145493025e-05,5.62221576302042e-05,"960/3576/929/3101/8358/3678/3554/3059/58484/3099/3606/10398/834/718/3553/8968/837/8357/7100/29108/10627/4615/7132/643246/3710/5336/4792/27128/10163/10095/3021/8717/9252/2308/115004/5330/92610/5829/3661/5333/51196/7157/8767/440686/113026/8503/3688/3020/55062/4735/387/10241/2475/55054/2932/83660/9475/1147/5581/3708/1729/23236/25851/5603",64
"hsa04936","Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","36/1420","144/9440",0.25,1.66197183098592,3.36815972802376,0.00112830319316022,0.00517515064596155,0.00338886853805316,"2919/3569/3576/2920/713/929/714/125/712/728/719/721/720/23643/718/3553/4615/717/7132/23765/4792/8717/2308/5565/79602/3661/9641/51135/501/5606/31/2932/1147/7187/1571/5603",36
"hsa00360","Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","4/1420","16/9440",0.25,1.66197183098592,1.11506925865962,0.211453816510798,0.408652319548958,0.267599744135486,"8639/221/4128/5053",4
"hsa04062","Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","48/1420","193/9440",0.248704663212435,1.65336057797563,3.85878990372217,0.00021149066424825,0.00115480616668886,0.000756207220536766,"6363/2919/6347/3577/5473/3579/3627/3576/2920/6373/7852/3055/1234/1230/5880/5294/7454/58191/6374/5336/4792/2268/4067/1794/6774/5330/59345/5829/55970/196883/3718/5908/6464/5906/8503/387/2771/3717/10681/2932/9475/1147/2785/107/53358/5579/23236/2869",48
"hsa04142","Cellular Processes","Transport and catabolism","hsa04142","Lysosome","33/1420","133/9440",0.24812030075188,1.64947580218151,3.1739780544259,0.0020312015523422,0.0086263374568607,0.00564882562964562,"6556/54/9516/968/7805/10577/1512/10312/1520/8692/1075/1519/4669/4864/1777/4668/967/1513/8763/9741/2519/6448/6272/427/4891/2799/4126/9374/3482/535/2629/8120/130340",33
"hsa04931","Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","27/1420","109/9440",0.247706422018349,1.64672438299522,2.85751402412846,0.00508190431354341,0.0198656259529424,0.0130087024294054,"9021/3569/5105/79660/4846/5836/7132/6517/4792/183/9586/148327/2308/6774/6195/64764/6513/5565/5106/8503/92579/2475/2932/5581/5792/5579/133522",27
"hsa04713","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","24/1420","97/9440",0.247422680412371,1.64483810076957,2.68604549325165,0.00807955114031632,0.0286532535285445,0.0187631464354606,"2353/55811/3710/9252/5187/3762/5330/59345/55970/196883/2771/10681/2785/808/2892/107/776/9722/3708/2903/2904/5579/23236/815",24
"hsa04270","Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","33/1420","134/9440",0.246268656716418,1.63716628126971,3.12567371867606,0.00231521027658154,0.00971258945297622,0.00636014119625738,"72/59/4629/133/94274/10398/3779/1906/10268/3710/4881/183/800/1909/5330/10266/196883/5321/4637/10672/5583/387/9826/9475/5581/808/107/776/3708/5579/23236/79784/146",33
"hsa04978","Organismal Systems","Digestive system","hsa04978","Mineral absorption","15/1420","61/9440",0.245901639344262,1.63472639113369,2.09263356420847,0.0337088548931409,0.0950479187150857,0.0622406811659374,"115019/4489/7421/7018/3162/4501/55503/140803/79901/4499/4502/4891/493/492/491",15
"hsa05161","Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","40/1420","163/9440",0.245398773006135,1.63138339237881,3.42139454976093,0.000912772403676038,0.00424315820087239,0.00277856748771938,"4318/3569/3576/7097/2353/1026/1017/3339/4615/7046/4609/3665/6776/7040/4792/9586/4772/148327/6774/7048/7042/64764/1643/3661/3718/7157/9641/7043/51135/2002/843/8503/5606/4089/3717/1147/6775/7187/5579/5603",40
"hsa00260","Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","10/1420","41/9440",0.24390243902439,1.62143593266919,1.67790530084349,0.0781910714340373,0.184231017625403,0.120640874454823,"212/8639/5224/29968/6470/1491/26227/501/4128/2731",10
"hsa04371","Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","34/1420","140/9440",0.242857142857143,1.61448692152918,3.08215992004868,0.00256608408761406,0.0105087253111814,0.00688147863094497,"59/6696/5054/1490/187/5294/10365/3991/7046/4846/55811/999/643246/3710/4634/5330/59345/5565/55970/196883/10672/4089/2771/2475/10681/10014/5581/2785/808/107/3708/814/23236/4843",34
"hsa04725","Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","28/1420","116/9440",0.241379310344828,1.60466245750364,2.75715288218957,0.00640733260851086,0.0244832501848184,0.0160324832911602,"2353/5294/3710/9586/148327/5330/64764/59345/55970/196883/8503/2771/3717/10681/2785/1141/107/776/3708/814/3761/5579/23236/1128/815/773/1132/9132",28
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","87/1420","362/9440",0.240331491712707,1.59769667730138,4.87932805933866,3.05804311201755e-06,2.92213008481677e-05,1.91351235664256e-05,"1440/3569/4804/1277/1280/3371/7097/6696/3566/5008/5105/1288/3678/1278/1026/9180/1017/1441/1293/3690/1945/3691/3673/3082/7057/3561/5294/1292/118788/6850/7450/1287/3563/10110/1942/3791/2149/3695/1435/1282/4846/4609/54541/8516/6446/284/1969/57121/1436/5228/9586/29941/148327/4170/2247/7060/2335/64764/3685/3570/59345/1284/55970/3696/3718/7157/5106/3655/5523/10018/23678/5585/8503/92579/3688/3717/2475/7248/10681/2932/1147/2785/5522/1128/3912/3914/5649",87
"hsa05120","Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","17/1420","71/9440",0.23943661971831,1.59174766911327,2.10590653315093,0.0316410963129919,0.0899548523278448,0.0589055642538518,"2919/3577/3579/3576/2920/10312/1839/5336/4792/4067/8992/50848/83700/5803/535/1147/5603",17
"hsa04720","Organismal Systems","Nervous system","hsa04720","Long-term potentiation","16/1420","67/9440",0.238805970149254,1.58755518183729,2.03079803605062,0.0371921746417258,0.101557640818967,0.0665034734861046,"3710/5330/6195/5908/5906/5534/5530/808/107/3708/814/2903/2904/5579/23236/815",16
"hsa04935","Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","29/1420","122/9440",0.237704918032787,1.58023551142923,2.71420626267613,0.00701662597505008,0.025677865270396,0.0168147587755959,"9021/2353/3726/55811/6776/3710/5336/3486/9586/148327/6774/5330/64764/8835/196883/6464/8503/5606/2771/3717/2475/2932/107/776/3708/53358/5579/23236/5603",29
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","41/1420","173/9440",0.236994219653179,1.57551086868029,3.2146003004505,0.00163387309348396,0.00711458663491751,0.00465887864098026,"9021/6347/3569/3117/3118/3627/3576/3122/4261/3109/3383/3123/3111/3606/834/3113/3115/3553/3127/8797/8795/3108/29108/4615/3665/51284/7132/4792/90865/8717/3459/3661/9641/10379/51135/8503/10241/3717/1147/7187/5579",41
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","26/1420","110/9440",0.236363636363636,1.57131882202305,2.53602793949193,0.0111109158214617,0.0378431192334935,0.0247809899509412,"3569/5054/3101/7076/1026/3099/7018/3162/1906/4846/1536/284/4055/5336/112399/6774/3459/3570/6513/2872/2034/8503/2475/5579/815/4843",26
"hsa04148","Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","37/1420","157/9440",0.235668789808917,1.56669956041984,3.01285692164637,0.00297544040327804,0.0119017616131122,0.00779368722523256,"713/714/161291/712/89790/3690/5734/834/7057/23166/240/5175/5777/6446/84868/7040/4772/9261/6566/5627/19/3685/6513/84466/196527/84465/80824/1051/3717/140885/286046/1849/1850/815/5603/575/1846",37
"hsa05132","Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","59/1420","251/9440",0.235059760956175,1.56265080522979,3.80155834970843,0.000223943015394601,0.00120369370774598,0.000788220481816524,"3569/3576/7097/929/302/2353/5788/84617/399/58484/6281/3606/10398/834/23643/5294/3553/837/8797/8795/7100/197259/391/29108/10627/4615/4609/3071/7132/330/79026/4792/2316/27128/10095/8717/79792/6188/6993/8767/51135/388/5585/5606/79443/387/5286/1778/3831/1639/23265/9475/23207/1147/3798/3800/51209/64837/5603",59
"hsa04728","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","31/1420","132/9440",0.234848484848485,1.56124626547162,2.73232416831914,0.00654784597966075,0.0244832501848184,0.0160324832911602,"2353/220074/3710/9586/148327/3762/5330/64764/59345/55970/4128/5523/2771/10681/2932/5530/2785/808/2892/776/3798/5522/3800/3708/2903/2904/5579/23236/815/5603/773",31
"hsa04370","Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","14/1420","60/9440",0.233333333333333,1.55117370892019,1.80211574282375,0.0583656684578922,0.145686282309211,0.0954004419038286,"9047/5880/3315/3791/4846/5336/9261/5829/5321/8503/5534/5530/5579/5603",14
"hsa04068","Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","31/1420","133/9440",0.233082706766917,1.54950757174627,2.68543488087657,0.00734177172503633,0.0263080153480468,0.0172274029512914,"3569/5105/4616/11067/1026/1017/10365/10110/7046/6446/1647/6517/7040/604/2308/6774/7048/10733/7042/5565/7043/5106/10018/23678/8503/847/92579/4089/1147/116986/5603",31
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","17/1420","73/9440",0.232876712328767,1.54813814393209,1.97820445657381,0.0403951358250166,0.108561927529732,0.0710901239025785,"4616/1026/3082/1647/6776/5336/6774/1643/3718/7157/11186/8503/83593/3798/3800/5579/5915",17
"hsa04750","Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","23/1420","99/9440",0.232323232323232,1.54445867121923,2.29142586646166,0.01983467553246,0.0609207891354129,0.0398930504130305,"3554/59341/5734/3553/2150/3710/624/5336/5330/196883/5321/5583/8503/5606/5581/808/107/3708/3556/5579/23236/815/5603",23
"hsa04924","Organismal Systems","Endocrine system","hsa04924","Renin secretion","16/1420","69/9440",0.231884057971014,1.54153908961012,1.89968401370586,0.0474477197549976,0.125553966120917,0.0822171014378096,"358/5734/1906/84876/3710/4881/183/1909/5330/2771/5534/5530/808/776/3708/23236",16
"hsa05130","Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","47/1420","203/9440",0.231527093596059,1.53916603066676,3.26757113217221,0.00131833950463304,0.00596722091570745,0.0039075436840924,"3569/3576/4629/2212/64005/2353/5010/3554/84617/3059/3606/834/3553/837/4542/8797/8795/7100/2149/5777/29108/4615/7122/3071/7132/7456/57121/4792/27128/10163/10095/8717/4643/6188/51135/10672/10972/3688/387/9069/9826/9475/1147/10061/4430/5603/79784",47
"hsa04650","Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","31/1420","134/9440",0.23134328358209,1.53794408240488,2.63893073114221,0.00821393959836751,0.0288326043044737,0.0188805915580091,"2215/2214/2207/7305/3683/3383/10870/5880/3689/6850/8797/3133/8795/5777/5551/3105/3106/7462/5336/3107/4772/3459/3384/3937/100507436/6464/8503/5534/5530/53358/5579",31
"hsa04927","Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","15/1420","65/9440",0.230769230769231,1.534127843987,1.81817733426476,0.0557991311769297,0.14289291344871,0.0935712468727785,"56246/84876/3710/3949/183/9586/148327/5330/64764/196883/6667/107/776/3708/23236",15
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","24/1420","105/9440",0.228571428571429,1.51951710261569,2.25246119975184,0.021276654123249,0.0642032370034883,0.0420425113792732,"3769/1277/1280/1281/1360/6510/1295/1288/1278/1293/1292/1296/1287/1282/6519/80781/7373/1284/5547/23428/206358/255631/169044/1303",24
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","76/1420","333/9440",0.228228228228228,1.51723554540456,4.04336355580998,8.39351531934032e-05,0.000506556012254924,0.000331710485381132,"1277/1280/3371/6696/1288/3678/1278/1026/1017/1293/3690/5734/3691/7475/3673/7057/1292/7450/1287/3659/3133/3280/3695/3105/1282/2535/3106/51384/26508/8516/10312/7132/8324/3134/7855/3107/9586/8717/148327/2308/8992/7060/7484/2335/3993/64764/3685/1284/5829/3661/4853/3696/7157/8321/9641/10379/23493/3655/3996/5523/4851/84441/8503/3065/3688/2475/7248/2932/535/27175/1147/5522/7187/3912/3914/5649",76
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","48/1420","212/9440",0.226415094339623,1.50518203560989,3.13027157233965,0.00193415903468394,0.00831688384914094,0.00544618465029425,"2357/4804/3683/3690/1945/5880/3082/7057/3397/3689/2533/3684/1942/3791/2149/1435/999/284/1969/57121/1436/5228/6494/2247/23683/5330/3937/7408/196883/51196/5908/5906/8503/5606/3688/387/2771/26037/2889/83660/808/83593/107/2903/2904/5579/23236/5603",48
"hsa04210","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","31/1420","137/9440",0.226277372262774,1.50426647476097,2.50166325757862,0.0113570004030858,0.0383020405751129,0.0250815075981462,"597/4616/2353/1439/3563/8797/8795/5551/1512/143/1647/7132/330/3710/1520/4792/8717/4000/4170/8837/1075/1519/7157/5783/1513/10018/843/8503/8996/1147/3708",31
"hsa04330","Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","14/1420","62/9440",0.225806451612903,1.50113584734212,1.66577439257899,0.0736447766265866,0.177159462654166,0.116010174443059,"3280/26508/151636/4853/23493/51107/4851/84441/8850/3065/83464/1488/6310/23220",14
"hsa04910","Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","31/1420","138/9440",0.22463768115942,1.49336599305981,2.45663461904044,0.0126001605912899,0.040891087201922,0.026776905328064,"9021/3101/5105/79660/3099/2203/3991/5836/6517/2308/5565/8835/2645/2872/5106/2002/6464/8503/92579/23433/868/31/2475/2889/7248/2932/23265/5575/808/53358/5792",31
"hsa05170","Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","48/1420","214/9440",0.224299065420561,1.49111491378176,3.05775908555038,0.00236906880077801,0.00981879117430885,0.00642968577509821,"7097/2353/7852/7133/1234/5880/85363/6890/7465/3133/3985/684/4615/3105/3106/920/27350/567/7132/3134/3710/5336/4792/3107/8717/4772/60489/115004/59345/5829/3661/55970/51135/8503/5606/2771/2475/10681/5534/5530/1147/2785/808/3708/3984/5579/130340/5603",48
"hsa05162","Human Diseases","Infectious disease: viral","hsa05162","Measles","31/1420","139/9440",0.223021582733813,1.48262235282197,2.4119593912776,0.0139514465219917,0.0444379407737514,0.0290995083402166,"3569/7097/3310/2213/2353/10332/1017/3561/3553/4615/7128/3665/6776/51284/4478/4792/8717/6774/3661/3718/7157/9641/10379/51135/10399/8503/868/2932/1147/51209/7187",31
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","41/1420","184/9440",0.222826086956522,1.48132271892223,2.77430101603521,0.0053392871276932,0.0206372446283872,0.0135139851605718,"7852/1945/10398/5880/223117/1942/3985/10627/1969/2050/5336/7869/10512/6405/9423/658/10371/6608/219699/57522/57556/2046/8503/4756/3688/387/54910/2771/5534/2932/9475/5530/2051/3984/5361/25791/64101/91584/815/84448/7222",41
"hsa00061","Metabolism","Lipid metabolism","hsa00061","Fatty acid biosynthesis","4/1420","18/9440",0.222222222222222,1.4773082942097,0.852871623410048,0.281464797172114,0.499092217666016,0.326822933232948,"51703/2180/31/23305",4
"hsa00511","Metabolism","Glycan biosynthesis and metabolism","hsa00511","Other glycan degradation","4/1420","18/9440",0.222222222222222,1.4773082942097,0.852871623410048,0.281464797172114,0.499092217666016,0.326822933232948,"2519/4126/57704/2629",4
"hsa04071","Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","27/1420","122/9440",0.221311475409836,1.47125375202032,2.20441503466852,0.022814790051669,0.0670793827160184,0.0439259115704649,"55304/2207/5880/140/4846/7132/624/8717/29956/5330/7157/10672/5523/9294/8503/427/387/2771/9475/4363/5581/5522/5579/23236/4985/5603/165679",27
"hsa04911","Organismal Systems","Endocrine system","hsa04911","Insulin secretion","19/1420","86/9440",0.22093023255814,1.46871929249918,1.83731386926362,0.0510640671089066,0.134091901415755,0.0878080382587867,"3779/3710/9586/148327/5330/64764/6513/196883/2645/9699/107/776/27445/5579/23236/815/3767/6833/6804",19
"hsa04261","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","34/1420","154/9440",0.220779220779221,1.46771538320834,2.46233793535103,0.0121052351027862,0.0400403930322929,0.026219841214537,"5350/93589/5294/6332/183/9586/9252/148327/4634/5330/64764/196883/5523/2771/493/55799/808/9254/107/10369/776/59283/5522/492/23236/10368/782/491/815/5603/784/6324/6331/146",34
"hsa05212","Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","17/1420","77/9440",0.220779220779221,1.46771538320834,1.73396164265374,0.0628940754445837,0.153443701793878,0.100480269840544,"4616/1026/5880/7046/1647/7040/6774/7048/7042/1643/7157/7043/8503/4089/10928/2475/1147",17
"hsa05221","Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","15/1420","68/9440",0.220588235294118,1.46644573322287,1.62427448505115,0.0777874875168007,0.184231017625403,0.120640874454823,"597/2209/929/6688/861/3684/4609/6776/5292/1436/3728/6774/8503/2475/1147",15
"hsa04630","Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","37/1420","168/9440",0.220238095238095,1.46411804158283,2.55397335161176,0.00951647038208445,0.0330673314286571,0.0216536380836371,"9021/1440/3976/50615/3569/3566/5008/1026/9180/1441/1439/3561/1154/3563/3953/3597/5777/316/4609/3587/6776/1438/5292/4170/6774/3459/3570/8835/3718/10379/1270/8503/3717/2475/6775/4352/7066",37
